,Unnamed: 0,avgPriceChoice,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE,predictSales
201,201,3.0,3800031829,2.0,4.0,1,1,1,0.6666666666666666,75.4
202,202,3.0,3800031829,2.5,6.25,1,1,1,0.8333333333333334,62.0
203,203,3.0,3800031829,3.0,9.0,1,1,1,1.0,53.4
204,204,3.0,3800031829,3.5,12.25,1,1,1,1.1666666666666667,49.5
205,205,3.0,3800031829,4.0,16.0,1,1,1,1.3333333333333333,50.6
206,206,3.0,3800031829,4.5,20.25,1,1,1,1.5,56.4
207,207,3.0,3800031829,5.0,25.0,1,1,1,1.6666666666666667,67.0
208,208,3.25,3800031829,1.5,2.25,1,1,1,0.4615384615384616,93.7
209,209,3.25,3800031829,2.0,4.0,1,1,1,0.6153846153846154,75.4
210,210,3.25,3800031829,2.5,6.25,1,1,1,0.7692307692307693,62.0
211,211,3.25,3800031829,3.0,9.0,1,1,1,0.9230769230769232,53.4
212,212,3.25,3800031829,3.5,12.25,1,1,1,1.0769230769230769,49.6
213,213,3.25,3800031829,4.0,16.0,1,1,1,1.2307692307692308,50.6
214,214,3.25,3800031829,4.5,20.25,1,1,1,1.3846153846153846,56.4
215,215,3.25,3800031829,5.0,25.0,1,1,1,1.5384615384615383,67.0
216,216,3.5,3800031829,1.5,2.25,1,1,1,0.42857142857142855,93.7
217,217,3.5,3800031829,2.0,4.0,1,1,1,0.5714285714285714,75.5
218,218,3.5,3800031829,2.5,6.25,1,1,1,0.7142857142857143,62.0
219,219,3.5,3800031829,3.0,9.0,1,1,1,0.8571428571428571,53.4
220,220,3.5,3800031829,3.5,12.25,1,1,1,1.0,49.6
221,221,3.5,3800031829,4.0,16.0,1,1,1,1.1428571428571428,50.6
222,222,3.5,3800031829,4.5,20.25,1,1,1,1.2857142857142858,56.4
223,223,3.5,3800031829,5.0,25.0,1,1,1,1.4285714285714286,67.1
